# anti- candidates (3532 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

anticlimbing                        -> climbing
anticlinal                          -> clinal
anticline                           -> cline
anticling                           -> cling
anticlockwise                       -> clockwise
anticlog                            -> clog
anticlogging                        -> clogging
anticloning                         -> cloning
anticlonogenic                      -> clonogenic
anticlonotypic                      -> clonotypic
anticlostridial                     -> clostridial
anticlot                            -> clot
anticlotting                        -> clotting
anticlumping                        -> clumping
anticlutter                         -> clutter
anticoagulant                       -> coagulant
anticoagulated                      -> coagulated
anticoagulation                     -> coagulation
anticoagulative                     -> coagulative
anticoagulatory                     -> coagulatory
anticoagulin                        -> coagulin
anticoal                            -> coal
anticoalition                       -> coalition
anticobalt                          -> cobalt
anticoca                            -> coca
anticocaine                         -> cocaine
anticoccidial                       -> coccidial
anticoccidian                       -> coccidian
anticoccidiosis                     -> coccidiosis
anticockroach                       -> cockroach
anticode                            -> code
anticoding                          -> coding
anticodon                           -> codon
anticoercive                        -> coercive
anticoffee                          -> coffee
anticognitive                       -> cognitive
anticoherence                       -> coherence
anticoherent                        -> coherent
anticoherer                         -> coherer
anticoincidence                     -> coincidence
anticoincident                      -> coincident
anticold                            -> cold
anticollaboration                   -> collaboration
anticollaborationist                -> collaborationist
anticollagen                        -> collagen
anticollagenase                     -> collagenase
anticollective                      -> collective
anticollectivism                    -> collectivism
anticollectivist                    -> collectivist
anticollege                         -> college
anticollision                       -> collision
anticollusion                       -> collusion
anticolonial                        -> colonial
anticolonialism                     -> colonialism
anticolonialist                     -> colonialist
anticolonist                        -> colonist
anticolonization                    -> colonization
anticolorectal                      -> colorectal
anticolored                         -> colored
anticolour                          -> colour
anticombat                          -> combat
anticombination                     -> combination
anticomedic                         -> comedic
anticomedogenic                     -> comedogenic
anticomedy                          -> comedy
anticomic                           -> comic
anticommandeering                   -> commandeering
anticommensal                       -> commensal
anticommerce                        -> commerce
anticommercial                      -> commercial
anticommercialism                   -> commercialism
anticommercialization               -> commercialization
anticommission                      -> commission
anticommodification                 -> commodification
anticommons                         -> commons
anticommunication                   -> communication
anticommunism                       -> communism
anticommunist                       -> communist
anticommunistic                     -> communistic
anticommunity                       -> community
anticommutation                     -> commutation
anticommutative                     -> commutative
anticommutativity                   -> commutativity
anticommutator                      -> commutator
anticommuting                       -> commuting
anticompensation                    -> compensation
anticompetition                     -> competition
anticompetitive                     -> competitive
anticompetitiveness                 -> competitiveness
anticompetitor                      -> competitor
anticomplement                      -> complement
anticomplementary                   -> complementary
anticompromise                      -> compromise
anticompulsive                      -> compulsive
anticomputer                        -> computer
anticoncept                         -> concept
anticonception                      -> conception
anticonceptionist                   -> conceptionist
anticonceptive                      -> conceptive
anticonceptual                      -> conceptual
anticonceptualism                   -> conceptualism
anticonceptualist                   -> conceptualist
anticonceptualistic                 -> conceptualistic
anticoncession                      -> concession
anticoncessionary                   -> concessionary
anticondensate                      -> condensate
anticondensation                    -> condensation
anticonduit                         -> conduit
anticonfederation                   -> confederation
anticonfederationist                -> confederationist
anticonfession                      -> confession
anticonfessional                    -> confessional
anticonfined                        -> confined
anticonfinement                     -> confinement
anticonflict                        -> conflict
anticonformist                      -> conformist
anticonformity                      -> conformity
anticonfrontational                 -> confrontational
anticonglomerate                    -> conglomerate
anticonquest                        -> conquest
anticonscription                    -> conscription
anticonscriptionist                 -> conscriptionist
anticonsensus                       -> consensus
anticonservation                    -> conservation
anticonservative                    -> conservative
anticonservativeness                -> conservativeness
anticonsolidation                   -> consolidation
anticonspiracy                      -> conspiracy
anticonstipation                    -> constipation
anticonstitution                    -> constitution
anticonstitutional                  -> constitutional
anticonstitutionalist               -> constitutionalist
anticonstitutionality               -> constitutionality
anticonstructivism                  -> constructivism
anticonsumer                        -> consumer
anticonsumerism                     -> consumerism
anticonsumerist                     -> consumerist
anticonsumption                     -> consumption
anticontact                         -> contact
anticontagion                       -> contagion
anticontagionism                    -> contagionism
anticontagionist                    -> contagionist
anticontagious                      -> contagious
anticontamination                   -> contamination
anticontinuum                       -> continuum
anticontra                          -> contra
anticontraception                   -> contraception
anticontraceptive                   -> contraceptive
anticontractile                     -> contractile
anticontraction                     -> contraction
anticontractual                     -> contractual
anticontracture                     -> contracture
anticontrol                         -> control
anticonvective                      -> convective
anticonventional                    -> conventional
anticonventionalism                 -> conventionalism
anticonversion                      -> conversion
anticonvulsant                      -> convulsant
anticonvulsive                      -> convulsive
anticooperative                     -> cooperative
anticooperativity                   -> cooperativity
anticop                             -> cop
anticopulatory                      -> copulatory
anticopying                         -> copying
anticopyright                       -> copyright
anticor                             -> cor
anticorona                          -> corona
anticoronaviral                     -> coronaviral
anticoronavirus                     -> coronavirus
anticorporate                       -> corporate
anticorporation                     -> corporation
anticorporatism                     -> corporatism
anticorporatist                     -> corporatist
anticorrelated                      -> correlated
anticorrelation                     -> correlation
anticorrelative                     -> correlative
anticorrosion                       -> corrosion
anticorrosive                       -> corrosive
anticorruption                      -> corruption
anticorset                          -> corset
anticortisol                        -> cortisol
anticosine                          -> cosine
anticosmetic                        -> cosmetic
anticotunnite                       -> cotunnite
anticough                           -> cough
anticouncil                         -> council
anticounseling                      -> counseling
anticounter                         -> counter
anticounterfeit                     -> counterfeit
anticounterfeiting                  -> counterfeiting
anticountermeasure                  -> countermeasure
anticountry                         -> country
anticoup                            -> coup
anticourt                           -> court
anticourtier                        -> courtier
anticow                             -> cow
anticoyote                          -> coyote
anticrab                            -> crab
anticrack                           -> crack
anticracking                        -> cracking
anticrash                           -> crash
anticrease                          -> crease
anticreasing                        -> creasing
anticreation                        -> creation
anticreationism                     -> creationism
anticreationist                     -> creationist
anticreative                        -> creative
anticreativity                      -> creativity
anticreator                         -> creator
anticreole                          -> creole
anticrime                           -> crime
anticriminal                        -> criminal
anticrisis                          -> crisis
anticritic                          -> critic
anticritical                        -> critical
anticriticism                       -> criticism
anticritique                        -> critique
anticrop                            -> crop
anticross                           -> cross
anticrossing                        -> crossing
anticrotalic                        -> crotalic
anticrowd                           -> crowd
anticrowding                        -> crowding
anticruelty                         -> cruelty
anticruising                        -> cruising
anticryptic                         -> cryptic
anticryptococcal                    -> cryptococcal
anticryptogamic                     -> cryptogamic
anticryptography                    -> cryptography
anticryptosporidial                 -> cryptosporidial
anticrystal                         -> crystal
anticrystallization                 -> crystallization
anticult                            -> cult
anticultism                         -> cultism
anticultist                         -> cultist
anticultural                        -> cultural
anticulture                         -> culture
anticurare                          -> curare
anticurfew                          -> curfew
anticurvature                       -> curvature
anticyanobacterial                  -> cyanobacterial
anticybersquatting                  -> cybersquatting
anticycle                           -> cycle
anticyclic                          -> cyclic
anticyclical                        -> cyclical
anticycling                         -> cycling
anticyclogenesis                    -> cyclogenesis
anticyclolysis                      -> cyclolysis
anticyclone                         -> cyclone
anticyclonic                        -> cyclonic
anticyclotomic                      -> cyclotomic
anticysticercal                     -> cysticercal
anticysticidal                      -> cysticidal
anticytochrome                      -> cytochrome
