# re- candidates (2455 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

regroom                             -> groom
regroove                            -> groove
reground                            -> ground
regroup                             -> group
regrout                             -> grout
regrow                              -> grow
regruntle                           -> gruntle
reguerdon                           -> guerdon
reguide                             -> guide
regurge                             -> gurge
regurgitate                         -> gurgitate
rehabilitate                        -> habilitate
rehabituate                         -> habituate
rehair                              -> hair
rehallow                            -> hallow
rehammer                            -> hammer
rehandicap                          -> handicap
rehandle                            -> handle
rehang                              -> hang
rehappen                            -> happen
reharden                            -> harden
reharl                              -> harl
reharmonize                         -> harmonize
reharness                           -> harness
reharrow                            -> harrow
reharvest                           -> harvest
rehash                              -> hash
rehat                               -> hat
rehaul                              -> haul
rehave                              -> have
rehead                              -> head
reheader                            -> header
reheal                              -> heal
reheap                              -> heap
rehear                              -> hear
rehearse                            -> hearse
rehearten                           -> hearten
reheat                              -> heat
rehedge                             -> hedge
reheel                              -> heel
reheighten                          -> heighten
rehelm                              -> helm
rehem                               -> hem
rehew                               -> hew
rehide                              -> hide
rehijack                            -> hijack
rehinge                             -> hinge
rehire                              -> hire
rehit                               -> hit
rehoe                               -> hoe
rehoist                             -> hoist
rehollow                            -> hollow
reholster                           -> holster
rehome                              -> home
rehomogenize                        -> homogenize
rehone                              -> hone
rehonor                             -> honor
rehood                              -> hood
rehook                              -> hook
rehoop                              -> hoop
rehospitalize                       -> hospitalize
rehost                              -> host
rehouse                             -> house
rehumanize                          -> humanize
rehumble                            -> humble
rehumidify                          -> humidify
rehumiliate                         -> humiliate
rehybridize                         -> hybridize
rehydrate                           -> hydrate
rehydrogenate                       -> hydrogenate
rehyphenate                         -> hyphenate
rehypnotize                         -> hypnotize
rehypothecate                       -> hypothecate
rehypothesize                       -> hypothesize
reidentify                          -> identify
reideologize                        -> ideologize
reignite                            -> ignite
reignore                            -> ignore
reillume                            -> illume
reilluminate                        -> illuminate
reillumine                          -> illumine
reillustrate                        -> illustrate
reimage                             -> image
reimagine                           -> imagine
reimbibe                            -> imbibe
reimbue                             -> imbue
reimmerge                           -> immerge
reimmerse                           -> immerse
reimmigrate                         -> immigrate
reimmobilize                        -> immobilize
reimmunize                          -> immunize
reimmunoprecipitate                 -> immunoprecipitate
reimpact                            -> impact
reimpark                            -> impark
reimpart                            -> impart
reimpel                             -> impel
reimplant                           -> implant
reimplement                         -> implement
reimport                            -> import
reimportune                         -> importune
reimpose                            -> impose
reimpound                           -> impound
reimpregnate                        -> impregnate
reimpress                           -> impress
reimprint                           -> imprint
reimprison                          -> imprison
reimprove                           -> improve
reinaugurate                        -> inaugurate
reincarcerate                       -> incarcerate
reincarnate                         -> incarnate
reincense                           -> incense
reincentivize                       -> incentivize
reincise                            -> incise
reincite                            -> incite
reincline                           -> incline
reinclude                           -> include
reincorporate                       -> incorporate
reincrease                          -> increase
reincubate                          -> incubate
reinculcate                         -> inculcate
reincur                             -> incur
reindent                            -> indent
reindex                             -> index
reindict                            -> indict
reindoctrinate                      -> indoctrinate
reinduce                            -> induce
reinduct                            -> induct
reindulge                           -> indulge
reindustrialize                     -> industrialize
reinfect                            -> infect
reinfer                             -> infer
reinfest                            -> infest
reinfibulate                        -> infibulate
reinfiltrate                        -> infiltrate
