# un- candidates (10095 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

unbiological                        -> biological
unbiomineralized                    -> biomineralized
unbiosorbed                         -> biosorbed
unbiotinylated                      -> biotinylated
unbioturbated                       -> bioturbated
unbirdlike                          -> birdlike
unbirdly                            -> birdly
unbirth                             -> birth
unbishop                            -> bishop
unbishoply                          -> bishoply
unbisulfited                        -> bisulfited
unbit                               -> bit
unbitch                             -> bitch
unbitchy                            -> bitchy
unbite                              -> bite
unbitt                              -> bitt
unbitted                            -> bitted
unbitten                            -> bitten
unbitter                            -> bitter
unbizarre                           -> bizarre
unblack                             -> black
unblacked                           -> blacked
unblackened                         -> blackened
unblacklist                         -> blacklist
unblacklisted                       -> blacklisted
unblackmailable                     -> blackmailable
unblade                             -> blade
unbladed                            -> bladed
unblamed                            -> blamed
unblameful                          -> blameful
unblameworthy                       -> blameworthy
unblanched                          -> blanched
unblank                             -> blank
unblanked                           -> blanked
unblasphemous                       -> blasphemous
unblasted                           -> blasted
unblazed                            -> blazed
unblazing                           -> blazing
unblazoned                          -> blazoned
unbleachable                        -> bleachable
unbleached                          -> bleached
unbleak                             -> bleak
unbleeding                          -> bleeding
unblemishable                       -> blemishable
unblemished                         -> blemished
unblendable                         -> blendable
unblended                           -> blended
unbless                             -> bless
unblessable                         -> blessable
unblessed                           -> blessed
unblight                            -> blight
unblighted                          -> blighted
unblind                             -> blind
unblinded                           -> blinded
unblindered                         -> blindered
unblindfold                         -> blindfold
unblindfolded                       -> blindfolded
unblinkered                         -> blinkered
unblinking                          -> blinking
unblissful                          -> blissful
unblistered                         -> blistered
unblithe                            -> blithe
unblitzed                           -> blitzed
unbloat                             -> bloat
unbloated                           -> bloated
unblock                             -> block
